App_563840	563840	60	3040.0	87.98	5185	87.98	5185	87.92	654	2	mainstream_quality|strong_fit|recent_fit	Exploration|Singleplayer|Emotional|Story Rich	27 Nov, 2025	LOST EMBER
App_387340	387340	55	1845.0	91.65	3018	91.65	3018	85.71	133	2	strong_fit|strong_niche_fit|very_high_rating	Hack and Slash|Action|JRPG|RPG	21 Mar, 2016	Hyperdimension Neptunia U: Action Unleashed
App_2555320	2555320	50	150.0	92.42	3562	92.42	3562	92.59	3226	2	strong_fit|strong_niche_fit|very_high_rating	Action|Horror|Choices Matter	12 Oct, 2023	Summon
App_286260	286260	50	1200.0	92.28	3237	92.28	3237	91.57	166	2	strong_fit|strong_niche_fit|very_high_rating	Fantasy|Singleplayer|Story Rich	15 Dec, 2014	fault - milestone one
App_3176060	3176060	50	1300.0	83.71	3168	83.71	3168	81.08	576	2	strong_fit|strong_niche_fit|recent_fit	Horror|Survival Horror	28 Mar, 2025	Emissary Zero
App_3070520	3070520	50	1450.0	80.03	1988	80.03	1988	75.0	444	2	strong_fit|strong_niche_fit|recent_fit	Horror|Survival Horror	6 Dec, 2024	Granny: Escape Together
App_4249100	4249100	50	1817.0	90.33	1716	90.33	1716	92.0	125	2	strong_fit|strong_niche_fit|recent_fit	Survival Horror|Action|Adventure|Horror	1 Apr, 2026	Resident Evil (1996)
App_4249110	4249110	50	1817.0	90.67	2240	90.67	2240	90.32	155	2	strong_fit|strong_niche_fit|recent_fit	Survival Horror|Action|Horror|Adventure	1 Apr, 2026	Resident Evil 2 (1998)
App_4249120	4249120	50	1817.0	89.14	2495	89.14	2495	84.57	162	2	strong_fit|strong_niche_fit|recent_fit	Survival Horror|Action|Adventure|Horror	1 Apr, 2026	Resident Evil 3 Nemesis (1999)
App_602960	602960	50	3500.0	94.01	89695	94.01	89695	95.0	24201	2	mainstream_quality|strong_fit|very_high_rating	Survival Horror|Horror	13 Mar, 2023	Barotrauma
App_335670	335670	45	3701.0	95.43	15177	95.43	15177	95.27	613	2	mainstream_quality|strong_fit|very_high_rating	RPG|Story Rich|Choices Matter	15 Dec, 2014	LISA: The Painful
